anno,words,cluster
2008,News Aggregator,1
2008,Optimization,2
2008,ANN,3
2008,Quantum Computing,4
2008,Virtual  Reality,5
2009,Display,6
2009,Virtual  Reality,5
2009,Document Management,7
2009,Robot,8
2009,ANN,3
2010,ANN,3
2010,Document Management,7
2010,Robot,8
2010,Quantum Computing,4
2011,ANN,3
2011,Quantum Computing,4
2011,Virtual  Reality,5
2011,Recommendation,9
2011,Business Transaction,10
2011,Image Detection,11
2012,Recommendation,9
2012,Query,12
2012,Quantum Computing,4
2012,Vehicle,13
2012,Cloud,14
2012,ANN,3
2012,Social Network,15
2013,Query,12
2013,Recommendation Location,9
2013,ANN,3
2013,Robot,8
2013,Quantum Computing,4
2013,NLP,17
2014,Recommendation social,9
2014,Conversation,18
2014,Document Management,7
2014,Quantum+Robot,5
2014,Vehicle,13
2014,ANN,3
2015,Energy,19
2015,Risk,20
2015,Recommendation,9
2015,Interaction,22
2015,Convolutional NN,21
2015,Quantum Computing,4
2015,Social Network,15
2015,Touch,23
2016,Social Network,15
2016,Convolutional NN,21
2016,NLP,17
2016,Vehicle,13
2016,Quantum Computing,4
2017,Quantum Computing,4
2017,Risk,20
2017,Image Detection,11
2017,Medical,24
2017,Vehicle,13
2017,Customer,25
2018,Quantum Computing,4
2018,Drone,4
2018,Medical,24
2018,Vehicle,13
