anno,words,cluster,Npat
2008,News Aggregator,1,253
2008,Optimization,2,39
2008,ANN,3,65
2008,Quantum Computing,4,70
2008,Virtual  Reality,5,31
2009,Display,6,49
2009,Virtual  Reality,5,109
2009,Document Management,7,71
2009,Robot,8,40
2009,ANN,3,16
2010,ANN,3,62
2010,Document Management,7,40
2010,Robot,8,186
2010,Quantum Computing,4,72
2011,ANN,3,129
2011,Quantum Computing,4,77
2011,Virtual  Reality,5,44
2011,Recommendation,9,29
2011,Business Transaction,10,320
2011,Image Detection,11,75
2012,Recommendation,9,408
2012,Query,12,78
2012,Quantum Computing,4,70
2012,Vehicle,13,49
2012,Cloud,14,160
2012,ANN,3,78
2012,Social Network,15,65
2013,Query,12,111
2013,Recommendation Location,9,78
2013,ANN,3,132
2013,Robot,8,187
2013,Quantum Computing,4,96
2013,NLP,17,86
2014,Recommendation social,9,535
2014,Conversation,18,42
2014,Document Management,7,147
2014,Quantum+Robot,5,94
2014,Vehicle,13,57
2014,ANN,3,74
2015,Energy,19,81
2015,Risk,20,20
2015,Recommendation,9,42
2015,Interaction,22,58
2015,Convolutional NN,21,58
2015,Quantum Computing,4,257
2015,Social Network,15,377
2015,Touch,23,112
2016,Social Network,15,37
2016,Convolutional NN,21,328
2016,NLP,17,56
2016,Vehicle,13,86
2016,Quantum Computing,4,52
2017,Quantum Computing,4,65
2017,Risk,20,39
2017,Image Detection,11,55
2017,Medical,24,25
2017,Vehicle,13,19
2017,Customer,25,23
2018,Quantum Computing,4,5
2018,Drone,4,5
2018,Medical,24,3
2018,Vehicle,13,4
