anno	words	cluster
2008	datum	0
2008	system	0
2008	set	0
2008	method	0
2008	event	0
2008	information	0
2008	value	0
2008	analysis	0
2008	state	0
2008	computer	0
2008	behavior	0
2008	robot	0
2008	model	0
2008	data	0
2008	laboratory	0
2008	object	0
2008	processing	0
2008	input	0
2008	symptom	0
2008	parameter	0
2008	system	1
2008	method	1
2008	network	1
2008	information	1
2008	datum	1
2008	device	1
2008	first	1
2008	node	1
2008	signal	1
2008	quantum	1
2008	value	1
2008	input	1
2008	which	1
2008	that	1
2008	state	1
2008	set	1
2008	second	1
2008	processing	1
2008	neural	1
2008	plurality	1
2008	system	2
2008	method	2
2008	datum	2
2008	network	2
2008	state	2
2008	information	2
2008	first	2
2008	quantum	2
2008	device	2
2008	set	2
2008	that	2
2008	node	2
2008	signal	2
2008	second	2
2008	which	2
2008	input	2
2008	value	2
2008	processing	2
2008	neural	2
2008	model	2
2008	system	3
2008	datum	3
2008	method	3
2008	first	3
2008	network	3
2008	inference	3
2008	information	3
2008	user	3
2008	that	3
2008	state	3
2008	engine	3
2008	second	3
2008	input	3
2008	model	3
2008	device	3
2008	set	3
2008	plurality	3
2008	processing	3
2008	which	3
2008	value	3
2008	system	4
2008	method	4
2008	datum	4
2008	first	4
2008	user	4
2008	network	4
2008	information	4
2008	that	4
2008	inference	4
2008	second	4
2008	state	4
2008	engine	4
2008	value	4
2008	which	4
2008	plurality	4
2008	input	4
2008	computer	4
2008	device	4
2008	model	4
2008	processing	4
2008	system	5
2008	method	5
2008	datum	5
2008	first	5
2008	user	5
2008	that	5
2008	network	5
2008	information	5
2008	second	5
2008	model	5
2008	input	5
2008	plurality	5
2008	set	5
2008	rule	5
2008	value	5
2008	state	5
2008	computer	5
2008	inference	5
2008	engine	5
2008	event	5
2008	system	6
2008	method	6
2008	datum	6
2008	first	6
2008	user	6
2008	rule	6
2008	that	6
2008	network	6
2008	information	6
2008	set	6
2008	second	6
2008	plurality	6
2008	engine	6
2008	model	6
2008	value	6
2008	input	6
2008	state	6
2008	computer	6
2008	event	6
2008	inference	6
2008	system	7
2008	method	7
2008	datum	7
2008	first	7
2008	rule	7
2008	user	7
2008	that	7
2008	set	7
2008	network	7
2008	information	7
2008	second	7
2008	plurality	7
2008	value	7
2008	model	7
2008	input	7
2008	state	7
2008	engine	7
2008	event	7
2008	computer	7
2008	which	7
2008	system	8
2008	method	8
2008	datum	8
2008	first	8
2008	rule	8
2008	user	8
2008	that	8
2008	set	8
2008	network	8
2008	information	8
2008	second	8
2008	plurality	8
2008	value	8
2008	model	8
2008	input	8
2008	state	8
2008	engine	8
2008	computer	8
2008	event	8
2008	which	8
2008	system	9
2008	method	9
2008	datum	9
2008	first	9
2008	rule	9
2008	user	9
2008	that	9
2008	set	9
2008	information	9
2008	network	9
2008	model	9
2008	second	9
2008	plurality	9
2008	value	9
2008	input	9
2008	computer	9
2008	event	9
2008	state	9
2008	engine	9
2008	which	9
2009	method	0
2009	datum	0
2009	system	0
2009	user	0
2009	document	0
2009	computer	0
2009	semantic	0
2009	first	0
2009	active	0
2009	more	0
2009	image	0
2009	that	0
2009	display	0
2009	knowledge	0
2009	model	0
2009	content	0
2009	element	0
2009	input	0
2009	processor	0
2009	touch	0
2009	system	1
2009	method	1
2009	datum	1
2009	rule	1
2009	that	1
2009	information	1
2009	user	1
2009	computer	1
2009	model	1
2009	pattern	1
2009	more	1
2009	engine	1
2009	first	1
2009	element	1
2009	object	1
2009	semantic	1
2009	module	1
2009	set	1
2009	document	1
2009	unit	1
2009	method	2
2009	datum	2
2009	system	2
2009	rule	2
2009	that	2
2009	first	2
2009	model	2
2009	user	2
2009	set	2
2009	information	2
2009	plurality	2
2009	value	2
2009	more	2
2009	pattern	2
2009	training	2
2009	computer	2
2009	data	2
2009	second	2
2009	object	2
2009	variable	2
2009	method	3
2009	system	3
2009	datum	3
2009	rule	3
2009	user	3
2009	that	3
2009	first	3
2009	model	3
2009	information	3
2009	set	3
2009	plurality	3
2009	value	3
2009	more	3
2009	pattern	3
2009	data	3
2009	second	3
2009	computer	3
2009	training	3
2009	object	3
2009	device	3
2009	method	4
2009	system	4
2009	datum	4
2009	rule	4
2009	user	4
2009	that	4
2009	first	4
2009	model	4
2009	information	4
2009	set	4
2009	value	4
2009	plurality	4
2009	more	4
2009	second	4
2009	pattern	4
2009	data	4
2009	computer	4
2009	training	4
2009	object	4
2009	device	4
2009	method	5
2009	system	5
2009	datum	5
2009	first	5
2009	that	5
2009	rule	5
2009	user	5
2009	second	5
2009	model	5
2009	plurality	5
2009	information	5
2009	set	5
2009	value	5
2009	more	5
2009	device	5
2009	pattern	5
2009	quantum	5
2009	state	5
2009	computer	5
2009	data	5
2009	method	6
2009	system	6
2009	datum	6
2009	first	6
2009	that	6
2009	rule	6
2009	user	6
2009	second	6
2009	model	6
2009	plurality	6
2009	information	6
2009	set	6
2009	value	6
2009	more	6
2009	device	6
2009	computer	6
2009	pattern	6
2009	quantum	6
2009	state	6
2009	data	6
2009	system	7
2009	method	7
2009	datum	7
2009	first	7
2009	user	7
2009	that	7
2009	model	7
2009	rule	7
2009	second	7
2009	information	7
2009	plurality	7
2009	set	7
2009	more	7
2009	device	7
2009	computer	7
2009	value	7
2009	data	7
2009	pattern	7
2009	network	7
2009	input	7
2009	system	8
2009	method	8
2009	datum	8
2009	first	8
2009	that	8
2009	user	8
2009	model	8
2009	rule	8
2009	plurality	8
2009	information	8
2009	second	8
2009	set	8
2009	value	8
2009	network	8
2009	more	8
2009	computer	8
2009	device	8
2009	state	8
2009	data	8
2009	input	8
2009	system	9
2009	method	9
2009	datum	9
2009	user	9
2009	model	9
2009	that	9
2009	first	9
2009	rule	9
2009	information	9
2009	plurality	9
2009	set	9
2009	value	9
2009	second	9
2009	more	9
2009	network	9
2009	device	9
2009	computer	9
2009	state	9
2009	data	9
2009	which	9
2010	method	0
2010	system	0
2010	user	0
2010	datum	0
2010	information	0
2010	model	0
2010	value	0
2010	that	0
2010	first	0
2010	set	0
2010	rule	0
2010	plurality	0
2010	knowledge	0
2010	computer	0
2010	apparatus	0
2010	search	0
2010	which	0
2010	second	0
2010	more	0
2010	time	0
2010	method	1
2010	system	1
2010	datum	1
2010	user	1
2010	information	1
2010	first	1
2010	value	1
2010	that	1
2010	model	1
2010	signal	1
2010	set	1
2010	plurality	1
2010	second	1
2010	quantum	1
2010	network	1
2010	apparatus	1
2010	device	1
2010	state	1
2010	node	1
2010	input	1
2010	method	2
2010	system	2
2010	datum	2
2010	user	2
2010	information	2
2010	first	2
2010	that	2
2010	value	2
2010	model	2
2010	plurality	2
2010	signal	2
2010	set	2
2010	second	2
2010	rule	2
2010	network	2
2010	state	2
2010	pattern	2
2010	device	2
2010	apparatus	2
2010	which	2
2010	method	3
2010	system	3
2010	datum	3
2010	first	3
2010	that	3
2010	model	3
2010	user	3
2010	information	3
2010	value	3
2010	plurality	3
2010	set	3
2010	second	3
2010	network	3
2010	more	3
