Anno,Npat,Label,Codice
2018,13,Fingerprint,2
2018,11,Auto vehicle,4
2018,17,Location detection,5
2018,24,User interface,6
2018,5,Quantum,19
2018,12,Speech recognition,7
2017,113,Location detection,5
2017,105,Speech recognition,7
2017,147,Convolutional NN,8
2017,190,NLP,10
2017,71,Biometric,2
2017,207,Auto vehicle,4
2017,878,Face detection,11
2017,70,Video stream,12
2017,168,User interface,6
2016,651,Robot,13
2016,433,Convolutional NN,8
2016,347,Location detection,5
2016,219,Video stream,12
2016,161,Biometric,2
2016,494,Speech recognition,7
2016,52,Quantum ,19
2016,2459,User interface,6
2016,616,Auto vehicle,4
2015,58,Convolutional NN,8
2015,257,Quantum ,19
2015,884,User interface,6
2015,682,Auto vehicle,4
2015,483,Location detection,5
2015,290,Robot,13
2015,350,Speech recognition,7
2015,508,Biometric,2
2015,1452,Video stream,12
2014,94,Quantum+Robot,19
2014,535,Recommendation ,21
2014,968,User interface,6
2014,597,Auto vehicle,4
2014,458,Face detection,11
2014,145,Video stream,12
2014,537,Speech recognition,7
2014,499,Location detection,5
2013,187,Robot,13
2013,96,Quantum,19
2013,86,NLP,10
2013,464,Auto vehicle,4
2013,535,Speech recognition,7
2013,415,Location detection,5
2013,324,Video stream,12
2012,408,Recommendation,21
2012,70,Quantum ,19
2012,160,Cloud,22
2012,372,Auto vehicle,4
2012,573,Face detection,11
2012,318,Speech recognition,7
2012,1107,User interface,6
2011,77,Quantum ,19
2011,44,Virtual  Reality,23
2011,281,Biometric,2
2011,409,Face detection,11
2011,140,Video stream,12
2011,301,Location detection,5
2011,278,Vehicle,4
2011,343,Speech recognition,7
2010,72,Quantum ,19
2010,193,Vehicle,4
2010,274,Robot,13
2010,449,Face detection,11
2010,194,Speech recognition,7
2009,109,Virtual  Reality,23
2009,47,Face detection,11
2009,190,Vehicle,4
2009,364,User interface,6
2009,140,Speech recognition,7
2009,570,Robot,13
2008,87,Face detection,11
2008,222,Speech recognition,7
2008,418,Vehicle,4
2008,136,Video stream,12
2008,169,Robot ,13
2008,70,Quantum ,19
2008,31,Virtual  Reality,23
