anno,words,cluster,Npat
2008,News Aggregator,1,253
2008,Optimization,2,39
2008,ANN,3,65
2008,Quantum,4,70
2008,VR,5,31
2009,Display,6,49
2009,VR,5,109
2009,Doc Mgmnt,1,71
2009,Robot,7,40
2009,ANN,3,16
2010,ANN,3,62
2010,Doc Mgmnt,1,40
2010,Robot,7,186
2010,Quantum,4,72
2011,ANN,3,129
2011,Quantum,4,77
2011,VR,5,44
2011,Recommendation,8,29
2011,Business Transaction,9,320
2011,Image Detection,6,75
2012,Recommendation,8,408
2012,Query,10,78
2012,Quantum,4,70
2012,Vehicle,11,49
2012,Cloud,12,160
2012,ANN,3,78
2012,Social Network,13,65
2013,Query,10,111
2013,Recom Location,8,78
2013,ANN,3,132
2013,Robot,7,187
2013,Quantum,4,96
2013,NLP,14,86
2014,Recom social,8,535
2014,Conversation,13,42
2014,Doc Mgmnt,1,147
2014,Quantum+Robot,4,94
2014,Vehicle,11,57
2014,ANN,3,74
2015,Energy,18,81
2015,Risk,15,20
2015,Recommendation,8,42
2015,Interaction,13,58
2015,Convolutional NN,3,58
2015,Quantum,4,257
2015,Social Network,13,377
2015,Touch,6,112
2016,Social Network,13,37
2016,Convolutional NN,3,328
2016,NLP,14,56
2016,Vehicle,11,86
2016,Quantum,4,52
2017,Quantum,4,65
2017,Risk,15,39
2017,Image Detection,6,55
2017,Medical,16,25
2017,Vehicle,11,19
2017,Customer,17,23
2018,Quantum,4,5
2018,Drone,11,5
2018,Medical,16,3
2018,Vehicle,11,4
2018,Beacon,19,3
